query_id,manual_recip_rank,delta_recip_rank,manual_recall_1000,delta_recall_1000,manual_ndcg_cut_3,delta_ndcg_cut_3,raw_query,automatic_query,manual_query
112_5,1.0,0.0,0.8519,0.07409999999999994,0.4412,-0.20290000000000002,That sounds easy to spot.  How do they get away with it?,How do athletes get away with anabolic steroids?,That sounds easy to spot. How do athletes get away with using steroids?
110_2,1.0,0.0,0.9667,0.0,0.5307,-0.20390000000000008,What about an alternative. I’ve heard it's also made from almonds?,I’ve heard cow milk is also made from almonds?,What about an alternative. How is milk made from almonds?
131_1,0.5,-0.5,0.9512,0.0,0.2654,-0.23459999999999998,I saw an online ad for a house with descriptions saying it has a heat pump. What is that?,What is a heat pump in an online ad for a house?,I saw an online ad for a house with descriptions saying it has a heat pump. What is that?
113_2,0.1667,-0.1666,0.68,-0.12,0.0,-0.2346,What other diseases are caused by a single change?,"Besides sickle cell anemia, what other diseases are caused by a single change in a single gene?",What diseases besides sickle cell anemia are caused by single change in a gene?
125_6,0.5,-0.5,1.0,0.0,0.403,-0.2358,Why would leaf litter affect its size?,Why would leaf litter affect Goliath frog size?,Why would leaf litter affect the size of a frog?
124_1,0.2,-0.8,0.7222,-0.08340000000000003,0.074,-0.27799999999999997,I just watched the first Jurassic Park movie and I got interested in dinosaurs and their time on earth. Can you tell me about the time when dinosaurs actually existed?,Can you tell me about the time when dinosaurs actually existed?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed?
106_10,0.1667,-0.1666,0.5,-0.16669999999999996,0.0,-0.3116,Does freezing work?,Does freezing work for breast cancer?,Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?
117_9,0.0,0.0,0.0,0.0,0.0,-0.3179,There was mention of the protection of Black lives earlier. How is it related to this movement?,How is the protection of Black lives mentioned earlier related to the #EndSARS movement?,There was mention of the protection of Black lives earlier. How are they related?
113_3,0.1667,-0.8333,0.6333,0.19999999999999996,0.0,-0.352,What are the other types of diseases?,"Besides sickle cell anemia and cystic fibrosis, what are the other types of diseases?",What are the other types of human genetic diseases besides monogenic?
117_5,0.1429,-0.3571,1.0,0.0,0.1697,-0.4061,"Okay, but I meant their response to the EndSars protests.","Okay, but I meant the response to the EndSars protests.","Okay, but I meant the international community's response to the EndSars protests."
112_3,0.3333,-0.6667000000000001,0.9231,-0.07689999999999997,0.2545,-0.46869999999999995,Why are they banned?,Why are steroid use banned in the US?,Why are steroids banned in sports?
116_6,1.0,0.0,1.0,0.0,0.4693,-0.5307,Why didn't it use rhymes as much?,Why did't Biblical poetry use rhymes as much?,Why didn't Biblical poetry use rhymes as extensively as Arabic?
106_7,0.5,-0.5,1.0,0.0,0.2961,-0.5559000000000001,What makes lobular cancer distinct?,What makes lobular cancer distinct from PLCIS?,What makes lobular cancer distinct?
111_9,0.3333,-0.6667000000000001,0.7727,0.04540000000000011,0.1564,-0.5885,It sounds like the Tesla is very competitive.  What makes its engine unique compared with gas ones?,What makes the Tesla Roadster engine unique compared with gas ones?,It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones?
106_9,,,,,,,"No, I meant for lobular.","No, I meant for lobular carcinoma.","No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer."
109_1,,,,,,,Why do cats eat plastic?,Why do cats eat plastic?,Why do cats eat plastic?
109_2,,,,,,,Will it kill him?,Will pica kill a cat?,Will eating plastic kill a cat?
109_3,,,,,,,What?  No.  Will eating plastic kill my cat?,Will eating plastic kill my cat?,What?  No. Will eating plastic kill my cat?
109_4,,,,,,,How do I get him to stop?,How do I get my cat to stop eating non-food items?,How do I get a cat to stop eating plastic?
109_5,,,,,,,Should I get a second one?,Should I get a second cat with pica behavior?,Should I get a second cat to ease my cat’s boredom or loneliness?
109_6,,,,,,,What are his desires?,What are your cat's desires?,What are my cat’s desires?
109_7,,,,,,,What does the slow blink mean?,What does the slow blink mean for cats?,What does a cat’s slow blink mean?
110_10,,,,,,,"I didn’t expect that. Really, hemp? Say more.","I didn’t expect hemp milk to contain any micronutrients in significant amounts. Really, hemp? Say more.","I didn’t expect that. Really, hemp? Say more about hemp milk for coffee."
111_10,,,,,,,I heard they’ve been working on something even faster.,I heard Tesla have been working on something even faster.,I’ve heard Tesla’s been working on a new car that is faster than ludicrous mode.
111_11,,,,,,,Is the Roadster related to the other super cars we’ve talked about?,Is the Tesla Roadster related to the other super cars we’ve talked about besides the Venom GT?,"Is the Tesla Roadster related to the other super cars, like the Hennessey Venom GT or Lotus Elise?"
112_8,,,,,,,What is the difference between the two policies?,What is the difference between the NFL and its performance-enhancing drug policy?,What is the difference between the NFL’s recreational drug and performance enhancing drug policies?
112_10,,,,,,,I know what bridge is. I heard there was a drug scandal recently.,I heard there was a drug scandal recently in the NFL.,I know what bridge is. I heard there was a drug scandal in bridge recently.
112_11,,,,,,,Does the article have more about it?,Does the article have more about the doping scandal in addition to the suspension of Geir Helgemo?,Tell me more about the suspension of Geir Helgemo for doping by the World Bridge Federation.
113_9,,,,,,,I’ve heard a lot about RNA recently. Can it be used to edit that too?,I’ve heard a lot about RNA recently. Can it be used to edit that too?,I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA?
113_10,,,,,,,What’s the difference between the types you mentioned?,What’s the difference between the types you mentioned and CRISPR/Cas9?,What’s the difference between the CRISPR CRISPRi and CAS13b systems?
113_11,,,,,,,"That’s too basic, I’d like a more scientific explanation.","Is CRISPR too basic, I’d like a more scientific explanation?","That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems?"
113_12,,,,,,,The developments sound exciting. What are the commercial issues using it?,What are the commercial issues using CRISPR?,The developments sound exciting. What are the commercial issues using CRISPR for genetic diseases?
113_13,,,,,,,What are the alternatives to avoid licensing issues?,What are the alternatives to avoid licensing issues for CRISPR?,What are the alternatives to CRISPR-CAS9 to avoid patent licensing issues?
114_1,,,,,,,I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?,What should I do next if my ferritin count is slightly low?,I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?
114_2,,,,,,,"How about my diet, what should I consider changing?","How about my diet, what should I consider changing?","How about my diet, what should I consider changing to increase my iron?"
114_3,,,,,,,"No, I meant to help my ferritin specifically.","No, I meant to help my ferritin specifically.","No, I meant what should I consider changing in my diet to help my ferritin levels specifically."
114_4,,,,,,,What is the difference between the two types?,What is the difference between animal foods and plants that contain non-heme iron?,What is the difference between heme and non-heme iron?
114_5,,,,,,,"I’m vegetarian. So, what can I do to improve it and increase my levels?","I’m vegetarian. So, what can I do to improve my levels of ferritin?",I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin?
114_6,,,,,,,I heard eating eggs might help.,I heard eating eggs might help.,I heard eating eggs might help improve my ferritin levels.
114_7,,,,,,,I’m also a woman over 50. How many do I need to eat to get the recommended amount?,How many eggs do I need to eat to get the recommended amount of iron?,I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet?
114_8,,,,,,,"I’m starting to train for a marathon, what should I consider?","I’m starting to train for a marathon, what should I consider?","I’m starting to train for a marathon, what should I consider in my vegetarian diet?"
114_9,,,,,,,"No, I’m starting to train for a marathon, what is a one week diet?","I’m starting to train for a marathon, what is a one week diet?","No, I’m starting to train for a marathon, what is a one week vegetarian diet?"
117_7,,,,,,,My friend also mentioned that women were instrumental to the movement. What was their role?,What was the role of women in the EndSars movement?,My friend also mentioned that women were instrumental to the EndSars movement. What was their role?
118_9,,,,,,,What are the other steps?,What are the other steps to becoming a veterinarian besides completing a bachelor's degree program?,What are the other steps to become a veterinarian?
118_10,,,,,,,I understand that licenses are required. Tell me more about that.,I understand that licenses are required for veterinary medicine. Tell me more about that.,I understand that licenses are required to work as a veterinarian in the US. Tell me more about that.
118_11,,,,,,,What about a way to combine both of my interests?,What about a way to combine both of my interests to become a veterinarian?,What about a way to combine my interests in fashion and animals?
119_9,,,,,,,Ok. But what about my dog?,What about my dog?,Ok. But what about protecting my dog from the coronavirus?
120_1,,,,,,,Why did Michael Jackson go so far to alter his appearance?,Why did Michael Jackson go so far to alter his appearance?,Why did Michael Jackson go so far to alter his appearance?
120_2,,,,,,,What else was it about?,"In addition to Michael Jackson altering his appearance, what else was Knopper’s book ""MJ: The Genius of Michael Jackson "" about?",What else was Michael Jackson’s vexed relationship to his skin about?
120_3,,,,,,,Okay. Did the diet help?,Okay. Did the diet help Michael Jackson fight acne scarring?,Okay. Did the Jacksons vegetarian diet help to fight their acne?
120_4,,,,,,,Never mind. Tell me more about the Pepsi commercial.,What did the Pepsi commercial do for Michael Jackson?,Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin.
120_5,,,,,,,How so?,How did Michael Jackson depend on drugs and other potions to ease the pain on his scalp?,How did Michael Jackson’s dependence on medicine lead to his death?
120_6,,,,,,,Okay. How did it affect his art and legacy?,Okay. How did the burns affect Michael Jackson art and legacy?,Okay. How did Michael Jackson’s skin conditions affect his art and legacy?
121_9,,,,,,,"That’s interesting, consumption is not very elastic. Would investing in it make sense?",Would investing in rust-resistant coffee varieties make sense?,"That’s interesting, coffee consumption is not very elastic. Would investing in coffee make sense?"
122_1,,,,,,,I heard Bernie Sanders was ill recently. What happened?,I heard Bernie Sanders was ill recently. What happened?,I heard Bernie Sanders was ill recently. What happened?
122_2,,,,,,,What did the doctors do?,What did the doctors do to Sen. Bernie Sanders?,What did the doctors do to treat Bernie Sanders when he had a heart attack?
122_3,,,,,,,How did it affect the campaign?,How did the stroke affect Bernie Sanders’ campaign?,How did the heart attack affect Bernie Sanders’ presidential campaign?
122_4,,,,,,,How did he attempt to regain the public's confidence?,How did Sen. Bernie Sanders attempt to regain the public's confidence after suffering a heart attack?,How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack?
122_5,,,,,,,Okay. What did the records say?,What did the records of Sen. Bernie Sanders say?,Okay. What did Bernie Sanders’ health records released after his heart attack say?
122_6,,,,,,,"Okay, I'd like to know more about his decision.","Okay, I'd like to know more about Bernie Sanders'decision to release his medical records.",Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack.
122_7,,,,,,,What about the other candidates? Did they release theirs?,What about the other candidates besides Bernie Sanders? Did they release theirs?,"What about the other Democratic presidential candidates, did they release their health records?"
122_8,,,,,,,Should there be an age limit on the presidency?,Should there be an age limit on the presidency for Sanders?,Should there be an age limit on the presidency of the United States?
123_1,,,,,,,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started?,How do I get started as a dad?,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started?
123_2,,,,,,,Okay. Should I try CrossFit?,Okay. Should I try CrossFit?,Okay. Should I try CrossFit to get fit?
123_3,,,,,,,That sounds very intense but useful for me. How does it compare with just weightlifting?,How do CrossFit workouts compare with just weightlifting?,That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit?
123_4,,,,,,,I would rather be safe. Do the positives outweigh the negatives?,Do the positives outweigh the negatives of CrossFit?,I would rather be safe. Do the positives of Crossfit outweigh the negatives?
123_5,,,,,,,I’ve got four weeks. What about cardio?,What about cardio in CrossFit?,I’ve got four weeks. What about cardio for getting fit?
123_6,,,,,,,Okay. What role will diet play?,What role will diet play in reducing rhabdomyolysis?,Okay. What role will diet play in getting fit?
123_7,,,,,,,What other meal frequencies can I try?,What other meal frequencies can I try besides eating before you exercise?,What other meal frequencies can I try to boost my metabolism?
123_8,,,,,,,Which one’s better?,Which of the following is better for you?,Which one’s better between eating six meals a day and intermittent fasting?
123_9,,,,,,,Okay. I would eventually like to spend time with my baby while working out too. Do you have any ideas for that?,Do you have any ideas for spending time with my baby while working out?,Okay. I would eventually like to spend time with my baby while working out too. Do you have any ideas for that?
126_1,,,,,,,I want to go on vacation somewhere in Europe with good food. What are some beautiful places?,What are some beautiful places to go on vacation somewhere in Europe with good food?,I want to go on vacation somewhere in Europe with good food. What are some beautiful places?
126_2,,,,,,,"Yes, it'll be my first time. Where should I consider?",Where should I consider for my first time in Europe?,"Yes, it'll be my first time in Europe. Where should I consider visiting in Italy?"
126_3,,,,,,,What should I not miss on the Coast?,What should I not miss on the Coast of the Amalfi Coast?,What should I not miss on the Amalfi Coast?
126_4,,,,,,,What food is it known for?,What food is Amalfi known for?,What food is the Amalfi known for?
126_5,,,,,,,Duomo?  What’s that?,What’s the Duomo in Italy known for?,What is the Duomo on the Amalfi Coast?
126_6,,,,,,,Cool!  What kinds of innovations?,What kinds of innovations did the cities in Amalfi undergo?,What were the technological innovations in Italian cathedrals or catholic churches (the Duomo)?
128_4,,,,,,,What is a safe amount to drink daily?,What is a safe amount to drink daily for teens with addiction?,What is a safe amount of alcohol to drink daily?
128_5,,,,,,,What do the guidelines say for pregnant women? Why?,What do the guidelines say for pregnant women?,What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why?
128_6,,,,,,,But I’ve heard that pregnant women in France drink wine with dinner. Is that true?,I’ve heard that pregnant women in France drink wine with dinner. Is that true?,But I’ve heard that pregnant women in France drink wine with dinner. Is that true?
128_7,,,,,,,So you mean that the US suggestion may be too strict? What is the French government's attitude?,So you mean that the US suggestion may be too strict? What is the French government's attitude?,So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking?
128_8,,,,,,,Tell me about the findings from the Lancet study you mentioned. What advice did it give for safety?,What advice did the Lancet study give for safety?,Tell me about the findings from the Lancet study you mentioned. What did  advise on safe consumption levels of alcohol?
128_9,,,,,,,I’d like to stop. What are some treatment options?,What are some treatment options for light drinking during pregnancy?,I’d like to stop. What are some treatment options for alcoholism?
128_10,,,,,,,"No, I meant drinking alcohol. What are some rehab treatment options to consider?",What are some rehab treatment options to consider after stopping smoking?,"No, I meant drinking alcohol. What are some alcohol rehab treatment options to consider?"
129_9,,,,,,,"No, I meant mania and depression.","No, I meant mania and depression.","No, I meant mania and depression."
129_10,,,,,,,What are the types of bipolar?,What are the types of bipolar depression?,What are the types of bipolar disorder?
130_1,,,,,,,Who are the greatest catchers of all time?,Who are the greatest catchers of all time?,Who are the greatest catchers of all time?
130_2,,,,,,,What was he known for?,What was Johnny Bench known for?,What was Johnny Bench known for?.
130_3,,,,,,,Who won his award?,Who won Johnny Bench Award?,Who won the Johnny Bench Award?
130_4,,,,,,,Who was the next Rookie of the Year for the team after him?,Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Lee Bench?,Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench?
130_5,,,,,,,Did Bench make it into Cooperstown?,Did Johnny Lee Bench make it into Cooperstown?,Did Johnny Lee Bench make it into Cooperstown?
130_6,,,,,,,Was he married?,Was Johnny Lee Bench married?,Was Johnny Bench married?
130_7,,,,,,,I’d like to know about the first two marriages.,I’d like to know about the first two marriages of Johnny Lee Bench.,I’d like to know about Johnny Bench’s first two marriages.
130_8,,,,,,,Does Bobby play baseball?,Does Bobby play baseball?,Does Bobby Binger Bench play baseball?
130_9,,,,,,,Interesting. How old was he when they got divorced?,How old was Johnny Bench when he got divorced?,Interesting. How old was Bobby Binger Bench when Johnny Bench and Laura Cwikowski got divorced?
